Frame,PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_gripper_angle,Y
18,375.27,38.89995,-208.0615,-0.0005599932007067007,0.0044644904651643755,-0.0005600013671906698,0.7340241847727528,425.723,-165.1995,-148.23250000000004,0.0011199986328294213,0.004459990490799019,-0.008925005420015446,0.0,S1
19,375.326,39.0116,-208.1175,0.0011149986206219103,0.0027909986365112056,-0.0011199986328291368,0.7314245744088629,425.83450000000005,-165.0875,-148.2885,0.0016749959228822345,0.002794998620642569,-0.0072500135986859815,0.0,S1
20,375.326,38.9558,-208.1175,0.0011149986206219103,0.001116494548366507,-0.001674999987813148,0.7290627331699701,425.8905,-165.0875,-148.5675,0.0022349972900723354,0.0016749958862603772,-0.0061350108765113025,0.0,S1
21,375.326,38.7325,-208.1735,0.0005599972656381834,-0.0016745122656149694,-0.0011199986328291368,0.7285492663981309,425.8905,-165.0875,-148.735,0.0016749959228810974,0.0011199945312766503,-0.005025008166543565,0.0,S1
22,375.4375,38.6209,-208.2295,0.0011149945556909963,-0.003907001364789362,-0.0011199986328291368,0.7239066576778123,425.89,-165.0875,-148.84699999999995,0.0005550013916041627,1.4456028966473392e-19,-0.0055850054321817475,0.0,S1
23,375.4935,38.5651,-208.4525,0.001674995922881666,-0.003907001364789362,-0.003350004077178214,0.7204984975116987,425.8345,-165.143,-149.1255,-0.0005600013305696652,-0.0005550013549837266,-0.005580005419975089,0.0,S1
24,375.549,38.50925,-208.508,0.0022299972778659608,-0.0022324972766445926,-0.003345004064971272,0.7139461205780271,425.946,-165.255,-148.958,0.0005550013916047311,-0.00167500408936535,-0.0022299972412441046,0.0,S1
25,375.4375,38.45345,-208.6755,8.166483968808739e-09,-0.0016745000012406855,-0.004459998620661984,0.7104634283059713,426.05800000000005,-165.1995,-149.014,0.0016799958984681724,-0.0011200067993131053,-0.0016699999756064898,0.0,S1
26,375.4375,38.39765,-208.7315,-0.0005599932007067008,-0.0016745000012406855,-0.0027899945435038605,0.7106959300945086,426.1135,-165.4225,-148.7355,0.0027899986084350572,-0.0027950108886787397,0.0039000136230599703,0.0,S1
27,375.382,38.2302,-208.787,-0.0016699959106752911,-0.0027905027258566697,-0.0027899945435038605,0.7078420242030747,426.1135,-165.813,-148.512,0.0016749958862606613,-0.005580017688011544,0.004460014990250925,0.0,S1
28,375.382,38.007,-208.787,-0.0005550013549842951,-0.0044644945520684615,-0.0011150027221746813,0.7052203669083312,426.1135,-165.86900000000003,-148.40050000000005,0.0005550013549831582,-0.00669501224370254,0.0061350068115795355,0.0,S1
29,375.49300000000005,37.83955,-208.676,0.0005550013549842954,-0.005580997277905168,0.0005550013549840106,0.7065286672904695,425.9465,-166.0925,-148.3445,-0.0016700040771581235,-0.006700012255909199,0.003910001379437684,0.0,S1
30,375.605,37.72795,-208.4525,0.00223000544434993,-0.005022495914376525,0.003345008166524041,0.7107578011241066,425.8345,-166.2595,-148.2885,-0.0027900068115400307,-0.00446500679935318,0.002234997290072334,0.0,S1
31,375.605,37.56045,-208.3405,0.00223000544434993,-0.004465498634089721,0.004465002697800692,0.715200608326962,425.7785,-166.3715,-148.17700000000005,-0.003350004077178214,-0.005025004064991079,0.002234997290072618,0.0,S1
32,375.549,37.6163,-208.3405,0.0005600013671906699,-0.002232493182416307,0.003354999987832954,0.7144521158802859,425.667,-166.2035,-147.954,-0.002795002722195057,-0.001109994506862482,0.0039050013672307423,0.0,S1
33,375.549,37.6163,-208.3405,-0.0005600013671906693,-0.0011164904578002523,0.00111999453127665,0.7144521158802859,425.5555,-166.0365,-147.7865,-0.002790002709987545,0.0022300136474543326,0.005020004089405423,0.0,S1
34,375.605,37.6163,-208.28500000000003,-4.1015524861736965e-09,0.000558501363528714,0.0005549972900519602,0.7207244163554115,425.611,-165.925,-147.898,-0.001675008154297117,0.004465002734421411,0.0027900149780242826,0.0,S1
35,375.5495,37.6163,-208.28500000000003,4.995910654456617e-06,0.0,0.0005549972900519602,0.722779310766422,425.5555,-165.7015,-148.0655,-0.0011150067871058787,0.005020004089405137,-0.0011149945556904288,0.0,S1
36,375.4375,37.78375,-208.229,-0.001115006823727451,0.0016745040881446978,0.0011149986572429136,0.7219707931242035,425.4995,-165.7575,-148.0655,-0.0005600054321221517,0.0027899986450560603,-0.002789998645056063,0.0,S1
37,375.3815,37.78375,-208.28500000000003,-0.002235001355003817,0.0016745040881446978,4.1015524861014174e-09,0.7235257449519261,425.6115,-165.7575,-147.898,4.991809101969865e-06,0.0016750040893656324,-1.226803645606664e-08,0.0,S1
38,375.3815,37.83955,-208.173,-0.0016800000000200908,0.002232505450452761,0.0011200068359343938,0.7222007877210727,425.7225,-165.64600000000004,-147.7305,0.0016699958740537186,0.000555001354983441,0.003349995910694244,0.0,S1
39,375.4375,37.89535,-208.229,4.1015524865350975e-09,0.0011160027246160538,4.1015524861014174e-09,0.7209315336618919,425.8905,-165.5895,-147.84199999999996,0.0039100013428163966,0.0016800041015725756,0.002234993188520132,0.0,S1
40,375.3815,37.89535,-208.28500000000003,4.1015524865350975e-09,0.0011160027246160538,4.1015524861014174e-09,0.7183416973564557,426.05800000000005,-165.31099999999995,-148.12099999999995,0.004464998632869778,0.004464990503006528,-0.00222998500982837,0.0,S1
41,375.4935,38.00700000000001,-208.2295,0.0011200068359338256,0.0016745040881448398,-0.0005649972778454108,0.7178354931835298,426.225,-164.92000000000004,-148.17700000000005,0.00502500000005988,0.007259997326753219,-0.004464990466385528,0.0,S1
42,375.4935,37.95115,-208.28500000000003,0.0005600054687431562,0.000558001362307991,-0.0005599972656384677,0.7180484641929247,426.225,-164.80849999999995,-148.065,0.0033449958984878713,0.007809998669530285,-0.0022299850098292232,0.0,S1
43,375.4935,37.89535,-208.4525,0.001120002734381339,4.086904083890873e-09,-0.0016749918213286108,0.7198921679695772,426.225,-164.80849999999995,-148.0655,0.001670004077158123,0.005025012268096332,0.0005550013916044457,0.0,S1
44,375.4375,37.89535,-208.564,-0.0005600013671906695,-0.0011164986389327648,-0.003344995898487587,0.7193222117625517,426.1135,-164.8645,-148.2885,-0.001115002722174965,0.0005550013549842926,-0.0011150026855531092,0.0,S1
45,375.4935,37.6721,-208.6755,0.0,-0.0027905027258566697,-0.0039049972656779726,0.717186972034519,426.002,-165.03199999999995,-148.45600000000005,-0.00223000544434993,-0.0022350054565563066,-0.00391000950930122,0.0,S1
46,375.4935,37.6163,-208.7315,0.0,-0.0027905027258566697,-0.0027900027099878287,0.7164110087003345,425.946,-165.199,-148.62349999999995,-0.0027900027099881128,-0.0039049973022998313,-0.005580001355043325,0.0,S1
47,375.49300000000005,37.56050000000001,-208.7315,0.0005550013549842952,-0.0033485040881645906,-0.0016749999878128638,0.7192568684372989,426.002,-165.4785,-148.735,-0.0011149986206224784,-0.006140002758855567,-0.0044649986328692114,0.0,S1
48,375.4375,37.56050000000001,-208.7315,-0.0005600013671906695,-0.0011159986377118286,-0.0005599972656384674,0.717189772821337,426.1135,-165.4225,-148.512,0.0011150068237274515,-0.0039049973022998313,-0.0005599890991539326,0.0,S1
49,375.4935,37.4489,-208.7315,-4.101552486462818e-09,-0.001673995913115878,0.0,0.7151059003436101,426.1695,-165.36700000000005,-148.39999999999995,0.002235001355004386,-0.0016800081665040616,0.002234997253451329,0.0,S1
50,375.5495,37.33725,-208.62,0.000564997277845126,-0.0022324972766447353,0.0011150027221746807,0.7130179412604661,426.1695,-165.59,-148.23250000000004,0.0016749999878137168,-0.001115006787106165,0.0050250040649910755,0.0,S1
51,375.5495,37.2256,-208.5645,0.0011199986328294213,-0.0033490000024814412,0.0016700040771584074,0.7124911867280105,426.1135,-165.757,-148.17700000000005,-4.101552486245978e-09,-0.0033450122314552413,0.003349999975625441,0.0,S1
52,375.605,37.1698,-208.3965,0.0011149986572434826,-0.0027910027270773925,0.003349995874073525,0.7096580630810571,426.002,-166.09199999999996,-148.01,-0.0016749959228822338,-0.00724999316416499,0.0038999972900917476,0.0,S1
53,375.6605,37.1698,-208.285,0.001109998645035971,-0.001674500001240615,0.003349995874073525,0.7117158012507403,425.8905,-166.37099999999995,-147.898,-0.00278999864505663,-0.007809994531355945,0.003344995935108873,0.0,S1
54,375.6605,37.1698,-208.2295,0.001109998645035971,-0.0005579972754039083,0.003349995874073525,0.7137974404942551,425.7785,-166.48250000000004,-147.7865,-0.0033500000122467315,-0.00725499317637307,0.0039049973022998266,0.0,S1
55,375.6605,37.114,-208.2295,0.0005550013549837265,-0.0005579972754039083,0.001670004077158408,0.7151064045715673,425.667,-166.65,-147.563,-0.0033500000122467315,-0.005580001355044176,0.004469994543523664,0.0,S1
56,375.605,37.0582,-208.2295,-0.0005550013549837269,-0.0011159986377119713,0.0005550013549837274,0.7158603270511811,425.611,-166.6505,-147.39600000000004,-0.002794998657263005,-0.0027949945557110877,0.005019995886299879,0.0,S1
57,375.5495,37.114,-208.1735,-0.0011100027099674539,-0.0005579972754039083,0.0005600013671909545,0.7145773907743537,425.667,-166.59449999999995,-147.3395,-0.0011149945556909956,-0.0011199904663443166,0.004469994543523664,0.0,S1
