Start Stop Motion Primitive
0 59 Touch(L, Ball/Block/Sleeve)
60 109 Untouch(L, Ball/Block/Sleeve)
110 139 Touch(L, Ball/Block/Sleeve)
140 149 Grasp(L, Ball/Block/Sleeve)
150 159 Pull(L, Ball/Block/Sleeve)
160 219 Idle(L)
220 229 Release(L, Ball/Block/Sleeve)
230 259 Touch(L, Ball/Block/Sleeve)
260 289 Untouch(L, Ball/Block/Sleeve)
290 329 Touch(L, Ball/Block/Sleeve)
330 339 Grasp(L, Ball/Block/Sleeve)
340 359 Pull(L, Ball/Block/Sleeve)
360 399 Idle(L)
400 419 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
420 679 Touch(Ball/Block/Sleeve, Peg)
680 779 Release(L, Ball/Block/Sleeve)
780 799 Untouch(L, Ball/Block/Sleeve)
800 989 Touch(L, Ball/Block/Sleeve)
990 1009 Grasp(L, Ball/Block/Sleeve)
1010 1029 Release(L, Ball/Block/Sleeve)
1030 1079 Touch(L, Ball/Block/Sleeve)
1080 1109 Untouch(L, Ball/Block/Sleeve)
1110 1169 Touch(L, Ball/Block/Sleeve)
1170 1209 Untouch(L, Ball/Block/Sleeve)
1210 1219 Touch(L, Ball/Block/Sleeve)
1220 1239 Grasp(L, Ball/Block/Sleeve)
1240 1259 Release(L, Ball/Block/Sleeve)
1260 1299 Touch(L, Ball/Block/Sleeve)
1300 1329 Grasp(L, Ball/Block/Sleeve)
1330 1339 Pull(L, Ball/Block/Sleeve)
1340 1579 Touch(Ball/Block/Sleeve, Peg)
1580 1649 Release(L, Ball/Block/Sleeve)
1650 1679 Untouch(L, Ball/Block/Sleeve)
1680 1839 Touch(L, Ball/Block/Sleeve)
1840 1849 Grasp(L, Ball/Block/Sleeve)
1850 1869 Pull(L, Ball/Block/Sleeve)
1870 1939 Touch(Ball/Block/Sleeve, Peg)
1940 2009 Release(L, Ball/Block/Sleeve)
2010 2019 Untouch(L, Ball/Block/Sleeve)
2020 2099 Touch(L, Ball/Block/Sleeve)
2100 2129 Untouch(L, Ball/Block/Sleeve)
2130 2159 Touch(L, Ball/Block/Sleeve)
2160 2169 Untouch(L, Ball/Block/Sleeve)
2170 2179 Grasp(L, Ball/Block/Sleeve)
2180 2189 Pull(L, Ball/Block/Sleeve)
2190 2249 Idle(L)
2250 2279 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
2280 2449 Touch(Ball/Block/Sleeve, Peg)
2450 2489 Release(L, Ball/Block/Sleeve)
2490 2639 Touch(L, Ball/Block/Sleeve)
2640 2649 Grasp(L, Ball/Block/Sleeve)
2650 2659 Pull(L, Ball/Block/Sleeve)
2660 2739 Idle(L)
2740 2769 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
2770 2909 Touch(Ball/Block/Sleeve, Peg)
2910 2999 Release(L, Ball/Block/Sleeve)
3000 3149 Touch(L, Ball/Block/Sleeve)
3150 3159 Grasp(L, Ball/Block/Sleeve)
3160 3179 Pull(L, Ball/Block/Sleeve)
3180 3249 Touch(Ball/Block/Sleeve, Peg)
3250 3309 Release(L, Ball/Block/Sleeve)
3310 3329 Untouch(L, Ball/Block/Sleeve)
3330 3399 Touch(L, Ball/Block/Sleeve)
3400 3409 Grasp(L, Ball/Block/Sleeve)
3410 3429 Pull(L, Ball/Block/Sleeve)
3430 3489 Touch(Ball/Block/Sleeve, Peg)
3490 3529 Release(L, Ball/Block/Sleeve)
3530 3549 Untouch(L, Ball/Block/Sleeve)
