Start Stop Motion Primitive
0 259 Touch(R, Ball/Block/Sleeve)
260 269 Untouch(R, Ball/Block/Sleeve)
270 279 Touch(R, Ball/Block/Sleeve)
280 299 Grasp(R, Ball/Block/Sleeve)
300 369 Idle(R)
370 379 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
380 849 Touch(Ball/Block/Sleeve, Peg)
850 879 Release(R, Ball/Block/Sleeve)
880 1039 Touch(R, Ball/Block/Sleeve)
1040 1049 Grasp(R, Ball/Block/Sleeve)
1050 1059 Pull(R, Ball/Block/Sleeve)
1060 1089 Idle(R)
1090 1099 Release(R, Ball/Block/Sleeve)
1100 1139 Touch(R, Ball/Block/Sleeve)
1140 1189 Grasp(R, Ball/Block/Sleeve)
1190 1199 Pull(R, Ball/Block/Sleeve)
1200 1209 Idle(R)
1210 1309 Idle(R)
1310 1329 Release(R, Ball/Block/Sleeve)
1330 1349 Touch(R, Ball/Block/Sleeve)
1350 1369 Untouch(R, Ball/Block/Sleeve)
1370 1419 Touch(R, Ball/Block/Sleeve)
1420 1429 Untouch(R, Ball/Block/Sleeve)
1430 1459 Touch(R, Ball/Block/Sleeve)
1460 1479 Untouch(R, Ball/Block/Sleeve)
1480 1539 Touch(R, Ball/Block/Sleeve)
1540 1549 Grasp(R, Ball/Block/Sleeve)
1550 1569 Pull(R, Ball/Block/Sleeve)
1570 1679 Touch(Ball/Block/Sleeve, Peg)
1680 1699 Release(R, Ball/Block/Sleeve)
1700 1739 Untouch(R, Ball/Block/Sleeve)
1740 1789 Idle(R)
1790 1869 Idle(R)
1870 1909 Touch(R, Ball/Block/Sleeve)
1910 1919 Grasp(R, Ball/Block/Sleeve)
1920 1929 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
1930 2019 Touch(Ball/Block/Sleeve, Peg)
2020 2059 Release(R, Ball/Block/Sleeve)
2060 2069 Untouch(R, Ball/Block/Sleeve)
2070 2169 Touch(R, Ball/Block/Sleeve)
2170 2189 Untouch(R, Ball/Block/Sleeve)
2190 2309 Touch(R, Ball/Block/Sleeve)
2310 2349 Untouch(R, Ball/Block/Sleeve)
2350 2369 Touch(R, Ball/Block/Sleeve)
2370 2429 Untouch(R, Ball/Block/Sleeve)
2430 2499 Touch(R, Ball/Block/Sleeve)
2500 2539 Untouch(R, Ball/Block/Sleeve)
2540 2569 Touch(R, Ball/Block/Sleeve)
2570 2589 Untouch(R, Ball/Block/Sleeve)
2590 2599 Touch(R, Ball/Block/Sleeve)
2600 2619 Untouch(R, Ball/Block/Sleeve)
2620 2629 Touch(R, Ball/Block/Sleeve)
2630 2659 Grasp(R, Ball/Block/Sleeve)
2660 2689 Pull(R, Ball/Block/Sleeve)
2690 2789 Touch(Ball/Block/Sleeve, Peg)
2790 2829 Release(R, Ball/Block/Sleeve)
2830 2969 Touch(R, Ball/Block/Sleeve)
2970 2999 Untouch(R, Ball/Block/Sleeve)
3000 3019 Touch(R, Ball/Block/Sleeve)
3020 3029 Grasp(R, Ball/Block/Sleeve)
3030 3039 Pull(R, Ball/Block/Sleeve)
3040 3079 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
3080 3129 Touch(Ball/Block/Sleeve, Peg)
3130 3149 Release(R, Ball/Block/Sleeve)
3150 3179 Untouch(R, Ball/Block/Sleeve)
3180 3249 Touch(R, Ball/Block/Sleeve)
3250 3259 Grasp(R, Ball/Block/Sleeve)
3260 3269 Pull(R, Ball/Block/Sleeve)
3270 3349 Touch(Ball/Block/Sleeve, Peg)
3350 3379 Release(R, Ball/Block/Sleeve)
3380 3399 Untouch(R, Ball/Block/Sleeve)
3400 3489 Touch(R, Ball/Block/Sleeve)
3490 3499 Grasp(R, Ball/Block/Sleeve)
3500 3519 Pull(R, Ball/Block/Sleeve)
3520 3539 Idle(R)
3540 3549 Untouch(Ball/Block/Sleeve, Ball/Block/Sleeve)
3550 3669 Touch(Ball/Block/Sleeve, Peg)
3670 3679 Release(R, Ball/Block/Sleeve)
3680 3699 Untouch(R, Ball/Block/Sleeve)
