PSML_position_x	PSML_position_y	PSML_position_z	PSML_velocity_x	PSML_velocity_y	PSML_velocity_z	PSML_orientation_x	PSML_orientation_y	PSML_orientation_z	PSML_orientation_w	PSML_gripper_angle	PSMR_position_x	PSMR_position_y	PSMR_position_z	PSMR_velocity_x	PSMR_velocity_y	PSMR_velocity_z	PSMR_orientation_x	PSMR_orientation_y	PSMR_orientation_z	PSMR_orientation_w	PSMR_gripper_angle
0.0982101	0.00279527	0.016024700000000003	-2.333333333331041e-05	0.00014450000000166443	-0.00024833333333336194	-0.3980530000000001	-0.274957	0.8740680000000001	0.0442354	1.0226972	-0.124529	0.0040692	0.033555400000000006	6.666666666488297e-05	2.3500000000005e-05	-3.9999999999993735e-05	0.259981	0.286694	0.158162	0.908406	1.0226972
0.0982096	0.00279891	0.0160162999999999	-2.8333333333454187e-05	0.00013916666666666418	-0.00027666666666831957	-0.398036	-0.274998	0.874059	0.044317	1.0226972	-0.124528	0.00406875	0.0335556	4.999999999843093e-05	4.000000000005156e-06	-6.666666666742725e-06	0.259983	0.286694	0.158158	0.908406	1.0226972
0.0982077	0.00280677	0.0160027	-6.0000000000106274e-05	0.0002701666666666668	-0.0005033333333332932	-0.398105	-0.274986	0.874031	0.0443324	1.0226972	-0.124518	0.00406841	0.033557	0.0002166666666650329	-1.666666666671225e-06	1.6666666666567687e-05	0.25999	0.28670300000000004	0.1581509999999999	0.908402	1.0226972
0.0982058	0.00281463	0.0159891	-7.166666666664583e-05	0.0003226666666666658	-0.0005933333333333369	-0.3981719999999999	-0.274938	0.874014	0.044364	1.0226972	-0.124503	0.00406701	0.0335610999999999	0.0004333333333333041	-3.650000000000008e-05	9.499999999833716e-05	0.26011300000000004	0.2867139999999999	0.158189	0.908357	1.0226972
0.0982051	0.0028241	0.0159703	-7.49999999998437e-05	0.0004198333333333337	-0.0007666666666650048	-0.398207	-0.274969	0.873983	0.0444571	1.0226972	-0.1244789999999999	0.00406507	0.0335671	0.0008166666666684086	-6.133333333334494e-05	0.00019166666666674268	0.260281	0.286724	0.158296	0.908287	1.0226972
0.0982021	0.00283629	0.0159492	-9.333333333324163e-05	0.0004919999999999982	-0.0008916666666666912	-0.398314	-0.27495	0.8739389999999999	0.044481	1.0226972	-0.124444	0.00406552	0.033573	0.0012333333333334102	-4.8166666666655277e-05	0.0002666666666667021	0.260295	0.286902	0.158547	0.908183	1.0226972
0.0982005	0.00284841	0.015928	-8.833333333332916e-05	0.0005630000000000033	-0.0010183333333332993	-0.398422	-0.274967	0.873884	0.0444885	1.0226972	-0.1244	0.00407234	0.0335709	0.0017166666666667645	8.883333333332619e-05	0.00016333333333502323	0.259525	0.287682	0.159076	0.908064	1.0226972
0.0981973999999999	0.00286099	0.015906200000000002	-0.0001283333333351733	0.0006148333333333321	-0.0010683333333333493	-0.398537	-0.275018	0.873816	0.0444805	1.0226972	-0.12436400000000003	0.00407846	0.0335763	0.0019166666666648828	0.0002231666666666713	0.0001533333333333479	0.25952600000000003	0.287729	0.159084	0.908047	1.0226972
0.0981956	0.00287163	0.015888	-0.00010833333333344168	0.0005890000000000004	-0.0010200000000000142	-0.398568	-0.274963	0.873817	0.044524	1.0226972	-0.124322	0.00407768	0.0335774	0.002033333333333285	0.00020266666666666293	7.333333333336041e-05	0.259998	0.287907	0.1595349999999999	0.907777	1.0226972
0.0981933	0.00287998	0.0158718999999999	-0.00011999999999998125	0.0005261666666666644	-0.0009350000000016752	-0.398647	-0.274915	0.8737950000000001	0.0445545	1.0226972	-0.1242619999999999	0.00408481	0.0335751999999999	0.002300000000001607	0.00020783333333334228	7.166666666502675e-05	0.25976	0.288538	0.160063	0.907552	1.0226972
0.0981929999999999	0.0028866	0.0158602	-7.333333333312912e-05	0.0004268333333333355	-0.0007666666666666239	-0.398707	-0.27494	0.87376	0.0445513	1.0226972	-0.124193	0.00409578	0.0335767	0.002850000000000075	0.0002886666666666726	6.6666666666270755e-06	0.25968800000000003	0.288765	0.160188	0.907478	1.0226972
0.0981924	0.00289004	0.0158558	-5.333333333324789e-05	0.00030683333333333257	-0.0005366666666666598	-0.39873	-0.274934	0.87375	0.04456	1.0226972	-0.1241039999999999	0.00410373	0.0335626999999999	0.003633333333335117	0.00043416666666666137	-0.00024500000000172534	0.259726	0.289534	0.161149	0.907052	1.0226972
0.0981934	0.00289116	0.015853700000000002	1.6666666667145903e-06	0.00018633333333333265	-0.00030333333333170537	-0.398741	-0.274932	0.8737459999999999	0.044562300000000006	1.0226972	-0.12398900000000003	0.00412576	0.0335416	0.0045499999999983045	0.0006824999999999942	-0.000559999999998409	0.25969000000000003	0.290329	0.16181800000000002	0.906689	1.0226972
0.0981943	0.00288929	0.0158548	2.166666666821489e-05	4.483333333333452e-05	-9.000000000004378e-05	-0.398675	-0.274982	0.873757	0.0446330999999999	1.0226972	-0.123846	0.00415445	0.0335016	0.005783333333333335	0.000977833333333323	-0.0012516666666666926	0.259755	0.291408	0.162911	0.906129	1.0226972
0.0981944	0.0028889	0.0158555	3.333333333336667e-05	-1.9000000000002806e-05	-4.999999999970306e-06	-0.398671	-0.274982	0.873758	0.0446324	1.0226972	-0.1237569999999999	0.00417868	0.0334586	0.005783333333333335	0.001249166666666664	-0.001734999999998312	0.259289	0.292481	0.163829	0.905751	1.0226972
0.0981944	0.00288674	0.015856	1.6666666666683334e-05	-7.366666666666286e-05	3.8333333333336967e-05	-0.3986659999999999	-0.274987	0.87376	0.0446241999999999	1.0226972	-0.12344	0.00426656	0.0333087	0.00915000000000013	0.0023466666666666657	-0.003881666666666686	0.259992	0.29475300000000004	0.166353	0.904352	1.0226972
