MTML_position_x,MTML_position_y,MTML_position_z,MTML_orientation_x,MTML_orientation_y,MTML_orientation_z,MTML_orientation_w,MTML_gripper_angle,MTMR_position_x,MTMR_position_y,MTMR_position_z,MTMR_orientation_x,MTMR_orientation_y,MTMR_orientation_z,MTMR_orientation_w,MTMR_gripper_angle,PSML_position_x,PSML_position_y,PSML_position_z,PSML_orientation_x,PSML_orientation_y,PSML_orientation_z,PSML_orientation_w,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_orientation_x,PSMR_orientation_y,PSMR_orientation_z,PSMR_orientation_w,PSMR_gripper_angle
0.176015,-0.017269,0.377515,0.230149502856943,-0.102336026081267,-0.850849633399541,0.461100255307307,-0.025015,-0.204291,-0.052237,0.324268,0.0678974209318228,0.296345690917129,0.949864201390435,0.0729874689420546,-0.044059,0.086478,0.033914,-0.029389,-0.100916091950771,-0.225942694326544,0.440382692330673,0.863034718630388,-0.13653,0.025677,0.017394,-0.007806,-0.296626390593365,0.0724910515468673,-0.0526147578004025,0.950783634225362,-0.119163
0.176179,-0.017668,0.377038,0.22864250924405,-0.10548246410428,-0.844672705652383,0.472360109512814,-0.462329,-0.204508,-0.052824,0.323527,0.0624369239325838,0.297818758776904,0.949917497199825,0.0711503054388496,-0.493562,0.086555,0.033728,-0.029617,-0.104228311351926,-0.224625384259337,0.451824983511826,0.857049636913527,-0.380486,0.025567,0.017091,-0.008189,-0.298226508504155,0.0670245659924906,-0.0506705219043872,0.950789753514875,-0.390062
0.176284,-0.017893,0.376603,0.229381315988962,-0.10520365931648,-0.844020334409818,0.473229412699942,-0.877578,-0.204808,-0.053107,0.323115,0.0627269276904323,0.29775850761493,0.949895248884787,0.0714438229069323,-0.958979,0.086613,0.033607,-0.029828,-0.103961030978798,-0.225319820313874,0.452659884358038,0.856459054307044,-0.528917,0.025424,0.016961,-0.008381,-0.298151540706893,0.0673197799232124,-0.0509113742339249,0.950779542259303,-0.531962
0.176114,-0.018012,0.375452,0.222654285117648,-0.108200074852318,-0.845753385221707,0.472672216770484,-1.583128,-0.205338,-0.053491,0.321962,0.0677384554089472,0.293336998047562,0.950642180052566,0.0751289074867876,-1.400827,0.086533,0.033533,-0.030402,-0.107154195185682,-0.218595696720984,0.452045632370182,0.858130902650766,-0.825126,0.025154,0.016757,-0.008948,-0.294048636039355,0.0725627992846697,-0.0543026287111936,0.951483717316498,-0.827518
0.175623,-0.017551,0.374182,0.21039955606836,-0.113360308592593,-0.849521695889633,0.470313039852002,-1.907144,-0.205613,-0.053343,0.321023,0.0663320648195136,0.290075113470716,0.951675449903635,0.0759626472185117,-1.404023,0.086281,0.033757,-0.031067,-0.112538355895738,-0.206468119737565,0.44958394910085,0.861730994391639,-1.109252,0.025014,0.016822,-0.009444,-0.290406429323597,0.0708660331139552,-0.0551944611377412,0.952678163189398,-0.993094
0.175386,-0.017193,0.373578,0.207701730515499,-0.113926932927631,-0.850873333125299,0.468929862634928,-1.912344,-0.205772,-0.053227,0.320636,0.0664025648068277,0.289662270100911,0.951792451205857,0.0760105156844106,-1.404263,0.086162,0.033934,-0.031371,-0.113143370598974,-0.203796848715953,0.448166806555379,0.863024875449661,-1.140277,0.024934,0.016883,-0.009641,-0.28990001068617,0.0708429272403909,-0.0554275949694148,0.95282057344501,-0.955048
0.175015,-0.016548,0.372683,0.206598695344382,-0.112191609307396,-0.855354144425324,0.461626807602676,-1.892567,-0.205995,-0.053015,0.320303,0.0661423106291897,0.288027053630004,0.952235904545572,0.076892088124378,-1.40176,0.085978,0.034255,-0.031806,-0.111371542602994,-0.202676143043509,0.440808528462413,0.867298450231544,-1.11562,0.024823,0.016979,-0.009813,-0.288331782338254,0.0705814281386131,-0.0562989297310289,0.953264641013554,-0.968437
0.174774,-0.016365,0.372292,0.209661873542542,-0.106179224498881,-0.867511119282044,0.438397455500671,-0.928031,-0.206234,-0.052761,0.320588,0.0619518731665483,0.289163459015523,0.951755451777769,0.0819024993063514,-1.071391,0.085857,0.034351,-0.032011,-0.105088849597703,-0.205481155387444,0.417303662458713,0.87897183218202,-0.978783,0.024702,0.017109,-0.009683,-0.289589226360085,0.0663481543927525,-0.061231785821353,0.952883345845634,-0.900509
0.174525,-0.016404,0.372577,0.209193319989604,-0.105279892558333,-0.871637991378254,0.430582757528349,-0.167448,-0.2062,-0.05246,0.321316,0.0512478856145503,0.291942988430823,0.950761207517017,0.0905321600697961,-0.548218,0.085738,0.034328,-0.031878,-0.104120136329673,-0.204971761755401,0.40933730752527,0.88294311411412,-0.804225,0.02472,0.017265,-0.009311,-0.292581101083991,0.0558719898314903,-0.0699798746431558,0.952038569169168,-0.712235
0.174443,-0.016484,0.372902,0.209055437409567,-0.105613685604234,-0.871553924608372,0.430738122299766,0.019909,-0.206115,-0.052311,0.321714,0.0495227984885873,0.292449856207735,0.950773024750257,0.0897286433708908,-0.338127,0.085692,0.034297,-0.031721,-0.104437331611203,-0.204856484479677,0.409503471457309,0.882855351344133,-0.740542,0.024764,0.017346,-0.009096,-0.293159319752048,0.0540600024272586,-0.0691230065789096,0.952027908908963,-0.642673
0.174375,-0.016638,0.373578,0.209214090840406,-0.105675852368818,-0.872524585463316,0.42867578212679,0.269677,-0.205901,-0.052081,0.322506,0.0492931062976395,0.29284809103571,0.950682675834868,0.0895133236771187,-0.054628,0.085658,0.03422,-0.03137,-0.104504981159068,-0.204987803678942,0.407423810472925,0.883778562715542,-0.644527,0.024872,0.017464,-0.008697,-0.293550138140505,0.0538793691878599,-0.068896580399346,0.951934131745934,-0.542902
0.174256,-0.01683,0.374305,0.210868033245646,-0.102695500755349,-0.879713286079772,0.413633703866659,0.415626,-0.205719,-0.051972,0.323233,0.0496746571862044,0.293359496372715,0.950464674200106,0.0899418557684129,0.080736,0.085599,0.034127,-0.031005,-0.101382127192612,-0.206469906309132,0.392223079483844,0.890647459994586,-0.37967,0.024963,0.01752,-0.008332,-0.294053207359172,0.0542854064987861,-0.0693206566353299,0.951724987823001,-0.440846
0.174164,-0.016945,0.374629,0.213392177452985,-0.0991841096534653,-0.885424125703637,0.400812186212038,0.457954,-0.205655,-0.05198,0.323572,0.0499994655886356,0.293664206834057,0.950319662429284,0.0902990933823064,0.120966,0.085553,0.034072,-0.030841,-0.0983422994546777,-0.208646801752486,0.381907865401441,0.894953454991342,-0.228626,0.024994,0.01752,-0.008165,-0.294338126647291,0.0546142629887174,-0.0696680316215148,0.951592725303187,-0.292578
0.173935,-0.017111,0.375186,0.215687253508744,-0.0958664980481405,-0.890970027538791,0.387893069354645,0.517162,-0.205496,-0.052048,0.324092,0.0517711776403212,0.293817102097536,0.950091800127962,0.0911966392492056,0.190552,0.085444,0.03399,-0.030562,-0.0942167645640583,-0.211090152335844,0.366241175631749,0.901349848912055,0.079503,0.025074,0.017483,-0.007901,-0.29446558114734,0.056404784872977,-0.0705649628053834,0.951382734648505,-0.029843
0.173768,-0.017184,0.375442,0.21960521761687,-0.0925661979061575,-0.892474909748291,0.383005982812835,0.520626,-0.205323,-0.052125,0.324504,0.0530095900476379,0.293850011764984,0.949981099147071,0.0915317715988505,0.280014,0.085355,0.033959,-0.03043,-0.0908499397577154,-0.214832073353392,0.361352150799403,0.902783524338669,0.389919,0.025161,0.017445,-0.007695,-0.294471519324768,0.0576411741331285,-0.0708866337596802,0.951282873022183,0.122833
0.173684,-0.017189,0.375416,0.221949116821544,-0.0910093366789087,-0.891958907434914,0.383229953979223,0.521124,-0.205149,-0.052189,0.324786,0.0530565086410107,0.294144269734597,0.949880552589084,0.0916028999878411,0.333549,0.085318,0.033952,-0.03044,-0.0891923519894585,-0.217238054705589,0.361652279142168,0.902252725640436,0.497364,0.025248,0.017417,-0.007557,-0.294753860557025,0.057682398090429,-0.0709467812053907,0.951188444459804,0.216562
0.173651,-0.017209,0.375377,0.223135505958956,-0.0902180125237168,-0.891690512578177,0.383352691362379,0.52077,-0.205037,-0.052177,0.324858,0.0530409037210917,0.294193702010705,0.949867159337483,0.0915920730294214,0.353466,0.085302,0.033942,-0.030459,-0.0883807740348018,-0.218402021184214,0.361797395274188,0.901993370649958,0.508141,0.025304,0.017419,-0.007518,-0.294816361636244,0.057673790288401,-0.0709413106312816,0.951170004400503,0.251343
0.173626,-0.017278,0.375301,0.224327180818161,-0.0894260126222851,-0.891415146623658,0.383483168577941,0.520958,-0.204749,-0.052104,0.324927,0.0531898028776512,0.294205165247762,0.949839550042468,0.091755080439699,0.386603,0.085284,0.033905,-0.030499,-0.0875765028977806,-0.219555340518641,0.361945586000405,0.901732333547357,0.514836,0.025442,0.017454,-0.007484,-0.294822499600849,0.0577812206487653,-0.0710572023649184,0.951152931058679,0.304412
0.173643,-0.017327,0.375238,0.224611154318915,-0.0887373108549599,-0.892540716004473,0.380849825117431,0.521558,-0.204344,-0.052026,0.32498,0.0532992586231494,0.294201326181279,0.949822717712961,0.0918780366560148,0.411326,0.085292,0.033877,-0.030533,-0.0868673767374058,-0.219805578920081,0.35929606933104,0.902798926061409,0.517122,0.025644,0.017491,-0.00746,-0.294816497556504,0.0578909207902617,-0.0711791668513729,0.951139001547574,0.346215
0.173642,-0.01734,0.375203,0.224678437406287,-0.0887051546905375,-0.892489515844012,0.380937605658089,0.521572,-0.204083,-0.051986,0.325011,0.0532551355330579,0.294197875603459,0.949830225849173,0.0918370436864991,0.416772,0.085292,0.033869,-0.030545,-0.086848556777828,-0.219863041861087,0.359387800819357,0.902750231033714,0.517286,0.025774,0.017511,-0.007445,-0.294816923868184,0.0578978050116593,-0.0711913162976724,0.951137541084116,0.360095
0.173618,-0.017351,0.375132,0.225111878237757,-0.0879576523997089,-0.893482604355238,0.378519391016078,0.521083,-0.20351,-0.051868,0.325117,0.053029932316347,0.294180276842719,0.949869974345243,0.0916123508738416,0.416782,0.08528,0.033867,-0.030585,-0.086061024737667,-0.22027850002796,0.35695853700645,0.903687714481474,0.517612,0.026055,0.017565,-0.007397,-0.294804407319953,0.0576882869615422,-0.0709820852736473,0.951169788493294,0.370055
0.173554,-0.017362,0.375087,0.225215963053448,-0.0879071558690674,-0.893401405754427,0.378660837860126,0.521377,-0.202917,-0.05168,0.325302,0.0526573104245697,0.294150830477737,0.949936446407605,0.0912318166792742,0.411942,0.085248,0.033862,-0.030607,-0.0860111690108886,-0.220381980104531,0.357110453478271,0.903607207622388,0.517612,0.026351,0.017656,-0.007308,-0.294782738673428,0.0573218334454405,-0.0706083118062135,0.951226477078158,0.368749
0.173492,-0.017354,0.375095,0.225323207005625,-0.0878884189420912,-0.893299086250302,0.378842738751761,0.5213,-0.202353,-0.051399,0.325562,0.0523067766562926,0.294097816654875,0.950006700437461,0.090872132574251,0.401391,0.085217,0.033863,-0.030604,-0.0859927126055972,-0.220488869950778,0.357299833080675,0.903508019271042,0.517775,0.026645,0.017802,-0.007172,-0.294734983930673,0.05693750950895,-0.070214449499012,0.951293509039064,0.361238
0.173461,-0.017354,0.375096,0.225339675667355,-0.087884980918674,-0.893282979109206,0.378871719626627,0.521313,-0.20209,-0.05123,0.325727,0.0521117364571937,0.294069627788318,0.950045350726844,0.0906711227357606,0.394143,0.085201,0.033864,-0.030603,-0.0859896753857066,-0.220504972235679,0.357331538762702,0.903491839670887,0.517449,0.026776,0.017886,-0.007091,-0.294710312163055,0.0567414875408615,-0.0700123873927664,0.951327756931316,0.354053
0.173409,-0.017346,0.375092,0.225456921423905,-0.0878539595941591,-0.893177549888747,0.379057677326839,0.521174,-0.201629,-0.050846,0.326142,0.0517086480651138,0.294037806359259,0.950116809293957,0.0902553757057288,0.378974,0.085175,0.033869,-0.030606,-0.0859580899775764,-0.220622076863968,0.357522927981122,0.903390536775453,0.517939,0.027007,0.018075,-0.006887,-0.294686471491435,0.0563445042657941,-0.0696040972192953,0.95138869554418,0.336091
0.173377,-0.017329,0.375067,0.225530484367282,-0.087809569018531,-0.89312604189287,0.379145557144765,0.521164,-0.201256,-0.050391,0.326609,0.0515022630823313,0.293996169999613,0.950161072028689,0.0900428016237294,0.373931,0.085159,0.033877,-0.030618,-0.0859131139946508,-0.220695028246688,0.357614623370643,0.903340701232048,0.517939,0.027188,0.018305,-0.00665,-0.294649745321309,0.0561454564877317,-0.0693998040901957,0.951426761495657,0.323517
0.173356,-0.017321,0.37506,0.225527443974273,-0.0877987782979946,-0.893134461899934,0.379130029818961,0.521449,-0.201093,-0.050138,0.326841,0.0514463762015685,0.29395362501063,0.950182792474044,0.0899844297924135,0.373541,0.085149,0.033881,-0.030621,-0.0859024653486904,-0.220691620585105,0.357600387275088,0.903348182082216,0.517775,0.027269,0.018429,-0.006537,-0.294605677805472,0.0560450643582229,-0.0692947983698796,0.951453980119238,0.321395
0.173325,-0.017299,0.375053,0.225601912101143,-0.08776448924962,-0.893075983236646,0.379231406728081,0.521129,-0.200785,-0.049667,0.327232,0.0517635649803505,0.295023040780321,0.949913951609652,0.0891371038714775,0.373194,0.085133,0.033892,-0.030625,-0.0858676811974851,-0.220765543136635,0.3577036096953,0.903292557204091,0.518102,0.027429,0.018668,-0.006337,-0.294897997358641,0.0560589604709831,-0.068949014214182,0.951387721984927,0.319925
0.173314,-0.017291,0.375046,0.225639671400274,-0.0877477463213198,-0.893046304361807,0.379282704551136,0.521075,-0.200502,-0.049236,0.327484,0.0520691046537876,0.296015841622958,0.94966908140038,0.0882726779981368,0.361837,0.085128,0.033896,-0.030628,-0.0858503245185454,-0.220803116667539,0.357755839102384,0.903264338407153,0.517939,0.027571,0.01889,-0.006204,-0.296235693795819,0.0565197412800706,-0.0679205569963931,0.951018785568531,0.31225
0.173314,-0.017291,0.375046,0.22567437204016,-0.0877419663628335,-0.893013810529644,0.37933989949172,0.521384,-0.200378,-0.049035,0.327531,0.0524511714452181,0.297052325053828,0.949396882367594,0.0874891452971839,0.353657,0.085128,0.033896,-0.030628,-0.0858442240743047,-0.220837689070556,0.357814036684146,0.903233413592994,0.518102,0.027633,0.018987,-0.006176,-0.297659929307416,0.0570849269940374,-0.0669986372164244,0.950605628116061,0.304086
0.173294,-0.017291,0.375047,0.225662150809631,-0.0877434658296352,-0.893024646475371,0.379321313247375,0.52136,-0.200144,-0.048693,0.32748,0.0532131764418971,0.299061671513297,0.948867008193302,0.085917840096974,0.332794,0.085117,0.033896,-0.030628,-0.0858459560098662,-0.220825684205251,0.357795085190716,0.903243691395297,0.517939,0.02775,0.019164,-0.006203,-0.299875531519407,0.0580196474315655,-0.0652145348331284,0.949976552633995,0.280245
0.173263,-0.017283,0.375054,0.225648808356194,-0.0877447421273409,-0.893036342435171,0.379301419199096,0.521395,-0.199986,-0.048335,0.327201,0.0538740484343946,0.300861550696476,0.948412029973378,0.0842290663582077,0.315831,0.085102,0.0339,-0.030624,-0.0858474717156829,-0.220812311593755,0.35777555641579,0.903254552094823,0.518102,0.027824,0.019334,-0.006337,-0.301662705472129,0.0587335376475303,-0.0635403538912607,0.949480177312836,0.258528
0.173211,-0.017282,0.375056,0.225653251644146,-0.0877428022742175,-0.893030832203117,0.379312197808218,0.521461,-0.199977,-0.04789,0.32678,0.0546611150439602,0.302468636559301,0.947993919660389,0.0826584217550793,0.293449,0.085081,0.033901,-0.030623,-0.0858448627834008,-0.220822945363314,0.357795514602082,0.903244294787075,0.518265,0.027834,0.019553,-0.006551,-0.303165529566435,0.0595337723332823,-0.061925581040889,0.949058277476795,0.232565
0.17319,-0.017289,0.375051,0.225636224786701,-0.0877451585781307,-0.893046419086884,0.379285083500786,0.521045,-0.199992,-0.047621,0.326537,0.0536959556136181,0.303549697998616,0.947810680425264,0.081420140429061,0.281299,0.085066,0.033897,-0.030625,-0.0858480909226649,-0.220799624214613,0.357759250125111,0.903264053409377,0.518102,0.027826,0.019687,-0.006674,-0.304312431759699,0.0585887073971389,-0.0607310212580437,0.948827197280404,0.216236
