PSML_position_x,PSML_position_y,PSML_position_z,PSML_velocity_x,PSML_velocity_y,PSML_velocity_z,PSML_gripper_angle,PSMR_position_x,PSMR_position_y,PSMR_position_z,PSMR_velocity_x,PSMR_velocity_y,PSMR_velocity_z,PSMR_gripper_angle,Y
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.08776,0.038472,-0.032251,0.0,0.0,0.0,-0.215889,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.087764,0.038505,-0.032307,3.9999999999901226e-05,0.0003299999999999,-0.00056,-0.231565,0.026249,0.025544,-0.009287,0.0,0.0,0.0,-0.234773,
0.088024,0.03877,-0.032504,0.00264,0.0029799999999999,-0.0025299999999999,-0.720294,0.026156,0.025547,-0.009454,-0.00093,2.999999999999531e-05,-0.00167,-0.235426,
0.088055,0.038562,-0.032303,0.0029499999999998,0.0008999999999999,-0.0005199999999999,-0.686819,0.026247,0.02561,-0.009248,-2.000000000002e-05,0.00066,0.00039,-0.204728,
0.088069,0.038339,-0.032113,0.0030499999999999,-0.0016599999999999,0.0019399999999999,-0.540674,0.026238,0.02554,-0.0091069999999999,-0.00011,-4.000000000000531e-05,0.0017999999999999,-0.051398,
0.088109,0.037943,-0.03182,0.00085,-0.00827,0.0068399999999999,-0.243648,0.0260959999999999,0.025197,-0.008799,-0.0005999999999999,-0.0034999999999999,0.00655,0.259671,
0.088056,0.037786,-0.031835,1.000000000001e-05,-0.0077599999999999,0.0046799999999999,0.0618679999999999,0.02599,0.024755,-0.008464,-0.00257,-0.00855,0.00784,0.533999,
0.087959,0.03781,-0.031918,-0.0010999999999999,-0.0052899999999999,0.00195,0.223689,0.026018,0.024588,-0.008289,-0.0022,-0.00952,0.00818,0.5214260000000001,
0.087768,0.037957,-0.0320509999999999,-0.00341,0.00014,-0.00231,0.529532,0.026091,0.024367,-0.0080819999999999,-5.000000000001531e-05,-0.0083,0.0071699999999999,0.5214260000000001,
0.087702,0.038079,-0.032149,-0.0035399999999999,0.00293,-0.0031399999999999,0.521858,0.026068,0.024229,-0.008041,0.00078,-0.0052599999999999,0.0042299999999999,0.521262,
0.087697,0.038083,-0.032158,-0.0026199999999999,0.0027299999999999,-0.0023999999999999,0.522021,0.025891,0.024205,-0.0080769999999999,-0.0012699999999999,-0.0038299999999999,0.0021199999999999,0.521262,
0.087707,0.038087,-0.032162,-0.00061,0.0013,-0.00111,0.5223479999999999,0.0257389999999999,0.024196,-0.008084,-0.0035199999999999,-0.00171,-1.9999999999985307e-05,0.521262,
